game_id,season,season_type,week,gameday,away_team,away_score,home_team,home_score,location,result,total,spread_line,total_line,div_game,roof,surface,temp,wind,away_coach,home_coach,stadium_id,stadium,game_type
2025_01_ARI_NO,2025,REG,1,2025-09-07,ARI,20,NO,13,Home,-7,33,-6.0,44.5,0,dome,sportturf,,,Jonathan Gannon,Kellen Moore,NOR00,Mercedes-Benz Superdome,REG
2025_01_BAL_BUF,2025,REG,1,2025-09-07,BAL,40,BUF,41,Home,1,81,-1.5,50.5,0,outdoors,a_turf,58.0,8.0,John Harbaugh,Sean McDermott,BUF00,New Era Field,REG
2025_01_CAR_JAX,2025,REG,1,2025-09-07,CAR,10,JAX,26,Home,16,36,4.5,45.5,0,outdoors,grass,85.0,3.0,Dave Canales,Liam Coen,JAX00,TIAA Bank Stadium,REG
2025_01_CIN_CLE,2025,REG,1,2025-09-07,CIN,17,CLE,16,Home,-1,33,-5.5,47.5,1,outdoors,grass,63.0,10.0,Zac Taylor,Kevin Stefanski,CLE00,FirstEnergy Stadium,REG
2025_01_DAL_PHI,2025,REG,1,2025-09-04,DAL,20,PHI,24,Home,4,44,8.5,47.5,1,outdoors,grass,75.0,11.0,Brian Schottenheimer,Nick Sirianni,PHI00,Lincoln Financial Field,REG
2025_01_DET_GB,2025,REG,1,2025-09-07,DET,13,GB,27,Home,14,40,1.5,48.5,1,outdoors,grass,60.0,5.0,Dan Campbell,Matt LaFleur,GNB00,Lambeau Field,REG
2025_01_HOU_LA,2025,REG,1,2025-09-07,HOU,9,LA,14,Home,5,23,3.5,43.5,0,dome,matrixturf,,,DeMeco Ryans,Sean McVay,LAX01,SoFi Stadium,REG
2025_01_KC_LAC,2025,REG,1,2025-09-05,KC,21,LAC,27,Neutral,6,48,-3.0,47.5,1,dome,,,,Andy Reid,Jim Harbaugh,LAX01,SoFi Stadium,REG
2025_01_LV_NE,2025,REG,1,2025-09-07,LV,20,NE,13,Home,-7,33,2.5,44.5,0,outdoors,fieldturf,62.0,4.0,Pete Carroll,Mike Vrabel,BOS00,Gillette Stadium,REG
2025_01_MIA_IND,2025,REG,1,2025-09-07,MIA,8,IND,33,Home,25,41,1.5,47.5,0,closed,fieldturf,,,Mike McDaniel,Shane Steichen,IND00,Lucas Oil Stadium,REG
2025_01_MIN_CHI,2025,REG,1,2025-09-08,MIN,27,CHI,24,Home,-3,51,-1.5,43.5,1,outdoors,grass,68.0,6.0,Kevin O'Connell,Ben Johnson,CHI98,Soldier Field,REG
2025_01_NYG_WAS,2025,REG,1,2025-09-07,NYG,6,WAS,21,Home,15,27,6.0,45.5,1,outdoors,grass,68.0,5.0,Brian Daboll,Dan Quinn,WAS00,FedExField,REG
2025_01_PIT_NYJ,2025,REG,1,2025-09-07,PIT,34,NYJ,32,Home,-2,66,-3.0,37.5,0,outdoors,fieldturf,67.0,3.0,Mike Tomlin,Aaron Glenn,NYC01,MetLife Stadium,REG
2025_01_SF_SEA,2025,REG,1,2025-09-07,SF,17,SEA,13,Home,-4,30,-2.5,43.5,1,outdoors,fieldturf,67.0,6.0,Kyle Shanahan,Mike Macdonald,SEA00,Lumen Field,REG
2025_01_TB_ATL,2025,REG,1,2025-09-07,TB,23,ATL,20,Home,-3,43,-1.5,47.5,1,closed,fieldturf,,,Todd Bowles,Raheem Morris,ATL97,Mercedes-Benz Stadium,REG
